iter	Passed	Remaining
470	699	785
471	700	783
472	701	781
473	702	779
474	703	777
475	705	776
476	706	775
477	708	773
478	709	771
479	710	769
480	711	767
481	712	765
482	713	764
483	714	762
484	716	760
485	717	758
486	718	756
487	719	755
488	721	753
489	722	751
490	723	749
491	724	748
492	725	746
493	727	744
494	728	743
495	730	741
496	731	740
497	732	738
498	734	737
499	736	736
500	738	735
501	739	733
502	741	732
503	742	730
504	743	728
505	744	727
506	746	725
507	747	723
508	749	722
509	751	721
510	753	720
511	754	719
512	756	718
513	757	716
514	759	714
515	760	713
516	762	712
517	763	710
518	765	709
519	767	708
520	769	707
521	771	706
522	772	704
523	773	702
524	774	701
525	776	699
526	777	697
527	779	696
528	781	695
529	783	694
530	784	693
531	786	691
532	787	690
533	788	688
534	790	686
535	791	685
536	792	683
537	794	682
538	796	681
539	798	680
540	800	678
541	801	677
542	803	675
543	804	674
544	805	672
545	806	670
546	807	669
547	809	667
548	812	667
549	813	665
550	815	664
551	817	663
552	818	661
553	819	660
554	821	658
555	822	657
556	825	656
557	826	655
558	828	653
559	830	652
560	831	650
561	833	649
562	834	647
563	835	645
564	836	644
565	837	642
566	841	642
567	843	641
568	845	640
569	846	638
570	848	637
571	849	635
572	850	634
573	851	632
574	853	630
575	855	629
576	857	628
577	859	627
578	860	625
579	862	624
580	863	622
581	865	621
582	867	620
583	869	619
584	871	617
585	872	616
586	874	615
587	875	613
588	876	611
589	877	609
590	878	608
591	880	606
592	881	604
593	883	603
594	885	602
595	886	601
596	888	599
597	889	598
598	890	596
599	891	594
600	892	592
601	894	591
602	895	589
603	897	588
604	899	587
605	900	585
606	901	583
607	902	582
608	904	580
609	905	578
610	906	577
611	907	575
612	909	574
613	910	572
614	912	571
615	914	569
616	915	568
617	917	566
618	918	565
619	919	563
620	920	561
621	921	560
622	923	558
623	924	556
624	925	555
625	926	553
626	928	552
627	930	551
628	932	549
629	933	548
630	934	546
631	936	545
632	937	543
633	938	542
634	940	540
635	942	539
636	944	538
637	946	536
638	947	535
639	949	534
640	950	532
641	952	531
642	953	529
643	954	527
644	957	526
645	958	525
646	960	524
647	962	523
648	965	522
649	968	521
650	970	520
651	972	519
652	974	517
653	975	515
654	977	514
655	978	512
656	979	511
657	981	510
658	984	509
659	986	508
660	987	506
661	989	505
662	990	503
663	992	502
664	993	500
665	994	498
666	997	497
667	998	496
668	1000	494
669	1001	493
670	1002	491
671	1003	489
672	1005	488
673	1006	486
674	1007	484
675	1008	483
676	1010	481
677	1012	481
678	1014	479
679	1016	478
680	1017	476
681	1018	474
682	1019	473
683	1021	471
684	1022	470
685	1023	468
686	1025	467
687	1027	465
688	1029	464
689	1048	471
690	1050	469
691	1054	469
